scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,rewrite_ratio,rewrite_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.05,random,300,0.7533333333333333,0.3672566371681416,0.27666666666666667,0.07333333333333333,0.47333333333333333,0.25,3.3433333333333333,0.0033333333333333335,4.1773889843250105
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.05,start,300,0.8233333333333334,0.4251012145748988,0.35,0.11666666666666667,0.47,0.18,2.7066666666666666,0.0,4.467357394105665
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.1,end,300,0.71,0.38497652582159625,0.2733333333333333,0.09666666666666666,0.4166666666666667,0.31,3.506666666666667,0.0033333333333333335,4.125798395538771
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.1,middle,300,0.7633333333333333,0.37117903930131,0.2833333333333333,0.07,0.4633333333333333,0.25333333333333335,3.37,0.0033333333333333335,4.199969546955004
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.1,random,300,0.79,0.38396624472573837,0.30333333333333334,0.12333333333333334,0.48,0.21666666666666667,3.13,0.0,4.28115659701525
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.1,start,300,0.8233333333333334,0.4251012145748988,0.35,0.11666666666666667,0.47,0.18,2.7066666666666666,0.0,4.467357394105665
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.15,end,300,0.71,0.38497652582159625,0.2733333333333333,0.09666666666666666,0.4166666666666667,0.31,3.506666666666667,0.0033333333333333335,4.124458340280032
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.15,middle,300,0.7633333333333333,0.37117903930131,0.2833333333333333,0.07,0.4633333333333333,0.25333333333333335,3.37,0.0033333333333333335,4.198950245446596
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.15,random,300,0.7666666666666667,0.33043478260869563,0.25333333333333335,0.07,0.5033333333333333,0.24333333333333335,3.2933333333333334,0.0033333333333333335,4.219888512587285
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.15,start,300,0.8233333333333334,0.4251012145748988,0.35,0.11333333333333333,0.47,0.18,2.71,0.0,4.466217168982403
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.2,end,300,0.7,0.36666666666666664,0.25666666666666665,0.08666666666666667,0.42333333333333334,0.32,3.61,0.0033333333333333335,4.074728969535168
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.2,middle,300,0.74,0.34684684684684686,0.25666666666666665,0.06666666666666667,0.4633333333333333,0.28,3.4633333333333334,0.0033333333333333335,4.169681437533791
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.2,random,300,0.7533333333333333,0.30973451327433627,0.23333333333333334,0.07333333333333333,0.51,0.25666666666666665,3.4233333333333333,0.0033333333333333335,4.194611993589528
hi_dypa,gpt2,results,8,2.0,6.0,300,16,4800,1061249670,2025-12-21T12:20:27.873299Z,0.2,start,300,0.8166666666666667,0.4163265306122449,0.34,0.10333333333333333,0.47333333333333333,0.18666666666666668,2.79,0.0,4.438977915773713
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.05,end,300,0.7166666666666667,0.5255813953488372,0.37666666666666665,0.12,0.42333333333333334,0.2,3.3566666666666665,0.006666666666666667,4.1711596325868125
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.05,middle,300,0.7366666666666667,0.46153846153846156,0.34,0.09666666666666666,0.49,0.17,3.35,0.013333333333333334,4.190914598143974
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.05,random,300,0.7433333333333333,0.5022421524663677,0.37333333333333335,0.10666666666666667,0.44,0.18666666666666668,3.2733333333333334,0.013333333333333334,4.233893298064476
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.05,start,300,0.8066666666666666,0.5165289256198347,0.4166666666666667,0.13,0.4666666666666667,0.11666666666666667,2.6866666666666665,0.0033333333333333335,4.4430673217313705
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.1,end,300,0.7166666666666667,0.5255813953488372,0.37666666666666665,0.12,0.42333333333333334,0.2,3.3566666666666665,0.006666666666666667,4.1711596325868125
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.1,middle,300,0.7366666666666667,0.46153846153846156,0.34,0.09666666666666666,0.49,0.17,3.35,0.013333333333333334,4.190914598143974
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.1,random,300,0.74,0.5045045045045045,0.37333333333333335,0.12333333333333334,0.4633333333333333,0.16333333333333333,3.1466666666666665,0.006666666666666667,4.259945945544346
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.1,start,300,0.8066666666666666,0.5165289256198347,0.4166666666666667,0.13,0.4666666666666667,0.11666666666666667,2.6866666666666665,0.0033333333333333335,4.4430673217313705
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.15,end,300,0.7133333333333334,0.5233644859813084,0.37333333333333335,0.12,0.4266666666666667,0.2,3.36,0.006666666666666667,4.171159126366984
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.15,middle,300,0.7433333333333333,0.4618834080717489,0.3433333333333333,0.09666666666666666,0.4866666666666667,0.17,3.3466666666666667,0.013333333333333334,4.189310075005534
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.15,random,300,0.7566666666666667,0.4977973568281938,0.37666666666666665,0.09,0.4666666666666667,0.15666666666666668,3.316666666666667,0.006666666666666667,4.225845077037085
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.15,start,300,0.8066666666666666,0.5165289256198347,0.4166666666666667,0.13,0.4666666666666667,0.11666666666666667,2.683333333333333,0.0033333333333333335,4.4417603706820685
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.2,end,300,0.6966666666666667,0.5119617224880383,0.3566666666666667,0.11,0.43333333333333335,0.21,3.473333333333333,0.006666666666666667,4.13475399374325
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.2,middle,300,0.7233333333333334,0.45622119815668205,0.33,0.09333333333333334,0.49,0.18,3.44,0.013333333333333334,4.165352401296668
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.2,random,300,0.7333333333333333,0.4863636363636364,0.3566666666666667,0.08333333333333333,0.46,0.18333333333333332,3.32,0.0033333333333333335,4.207344351287667
hi_dypa,gpt2,results,8,3.0,5.0,300,16,4800,1088080357,2025-12-21T20:08:22.435172Z,0.2,start,300,0.7933333333333333,0.5126050420168067,0.4066666666666667,0.12333333333333334,0.4633333333333333,0.13,2.736666666666667,0.0033333333333333335,4.423201098221012
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.05,end,300,0.6266666666666667,0.5851063829787234,0.36666666666666664,0.10666666666666667,0.4766666666666667,0.15666666666666668,3.1766666666666667,0.006666666666666667,4.279693246042438
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.05,middle,300,0.7,0.49523809523809526,0.3466666666666667,0.08666666666666667,0.5133333333333333,0.14,3.183333333333333,0.0033333333333333335,4.270746211096205
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.05,random,300,0.67,0.5870646766169154,0.3933333333333333,0.09333333333333334,0.47,0.13666666666666666,3.01,0.006666666666666667,4.344649421164028
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.05,start,300,0.7433333333333333,0.6188340807174888,0.46,0.13333333333333333,0.46,0.08,2.486666666666667,0.0033333333333333335,4.53765831527793
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.1,end,300,0.6266666666666667,0.5851063829787234,0.36666666666666664,0.10666666666666667,0.4766666666666667,0.15666666666666668,3.1766666666666667,0.006666666666666667,4.279693246042438
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.1,middle,300,0.7,0.49523809523809526,0.3466666666666667,0.08666666666666667,0.5133333333333333,0.14,3.183333333333333,0.0033333333333333335,4.270746211096205
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.1,random,300,0.6733333333333333,0.5643564356435643,0.38,0.10666666666666667,0.48333333333333334,0.13666666666666666,3.046666666666667,0.006666666666666667,4.342189994002953
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.1,start,300,0.7433333333333333,0.6188340807174888,0.46,0.13333333333333333,0.46,0.08,2.486666666666667,0.0033333333333333335,4.53765831527793
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.15,end,300,0.6266666666666667,0.5851063829787234,0.36666666666666664,0.10666666666666667,0.4766666666666667,0.15666666666666668,3.18,0.006666666666666667,4.279342748866959
hi_dypa,gpt2,results,8,4.0,4.0,300,16,4800,1116154790,2025-12-22T05:18:20.564850Z,0.15,middle,300,0.7,0.49523809523809526,0.3466666666666667,0.08666666666666667,0.5133333333333333,0.14,3.19,0.0033333333333333335,4.269446200871267
