scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,synonym_ratio,synonym_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,lbit_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.2,random,300,0.8,0.5416666666666666,0.43333333333333335,0.21333333333333335,0.36333333333333334,0.20333333333333334,2.4366666666666665,0.0,4.640771944386941
hi_dypa,gpt2,job_7963211,8,2.0,6.0,300,16,4800,1037841200,2025-12-21T03:46:57.079518Z,0.2,start,300,0.9366666666666666,0.8612099644128114,0.8066666666666666,0.7033333333333334,0.12,0.07333333333333333,0.8866666666666667,0.0,5.807168386906142
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.05,end,300,0.94,0.9326241134751773,0.8766666666666667,0.81,0.07,0.05333333333333334,0.74,0.0,6.319221470718048
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.05,middle,300,0.9433333333333334,0.911660777385159,0.86,0.7966666666666666,0.09,0.05,0.7666666666666667,0.0,6.282552899106807
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.05,random,300,0.93,0.9068100358422939,0.8433333333333334,0.7533333333333333,0.09666666666666666,0.06,0.8266666666666667,0.0,6.036780573604962
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.05,start,300,0.9366666666666666,0.9395017793594306,0.88,0.8233333333333334,0.06666666666666667,0.05333333333333334,0.6933333333333334,0.0,6.489117363403176
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.1,end,300,0.9366666666666666,0.9074733096085409,0.85,0.77,0.08333333333333333,0.06666666666666667,0.84,0.0,6.000254265252752
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.1,middle,300,0.9233333333333333,0.9025270758122743,0.8333333333333334,0.76,0.10333333333333333,0.06333333333333334,0.9066666666666666,0.0,5.95870647096051
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.1,random,300,0.9,0.8222222222222222,0.74,0.5533333333333333,0.18,0.08,1.1966666666666668,0.0,5.488922969389563
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.1,start,300,0.94,0.9078014184397163,0.8533333333333334,0.7833333333333333,0.09666666666666666,0.05,0.7666666666666667,0.0,6.249098849230361
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.15,end,300,0.9233333333333333,0.8880866425992779,0.82,0.6766666666666666,0.11,0.07,1.0233333333333334,0.0,5.687657522631843
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.15,middle,300,0.9166666666666666,0.8727272727272727,0.8,0.69,0.12666666666666668,0.07333333333333333,1.0533333333333332,0.0,5.652890688646878
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.15,random,300,0.86,0.7635658914728682,0.6566666666666666,0.4,0.25333333333333335,0.09,1.7566666666666666,0.0,5.017703370987835
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.15,start,300,0.9366666666666666,0.8896797153024911,0.8333333333333334,0.7366666666666667,0.10666666666666667,0.06,0.8566666666666667,0.0,5.983100774388081
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.2,end,300,0.9,0.8037037037037037,0.7233333333333334,0.5433333333333333,0.2,0.07666666666666666,1.2933333333333332,0.0,5.368055708240767
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.2,middle,300,0.9,0.8222222222222222,0.74,0.5533333333333333,0.17666666666666667,0.08333333333333333,1.2833333333333334,0.0,5.352850387930557
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.2,random,300,0.8166666666666667,0.6040816326530613,0.49333333333333335,0.17666666666666667,0.38,0.12666666666666668,2.41,0.0,4.565661757699585
hi_dypa,gpt2,job_7963211,8,3.0,5.0,300,16,4800,1057270111,2025-12-21T09:05:45.549100Z,0.2,start,300,0.9233333333333333,0.8628158844765343,0.7966666666666666,0.65,0.13666666666666666,0.06666666666666667,1.05,0.0,5.702381505284819
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.05,end,300,0.94,0.9432624113475178,0.8866666666666667,0.8466666666666667,0.06333333333333334,0.05,0.5933333333333334,0.0,6.442124018118847
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.05,middle,300,0.9366666666666666,0.9395017793594306,0.88,0.8533333333333334,0.06666666666666667,0.05333333333333334,0.6166666666666667,0.0,6.395129835658984
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.05,random,300,0.9266666666666666,0.9316546762589928,0.8633333333333333,0.7866666666666666,0.08333333333333333,0.05333333333333334,0.7,0.0,6.1405252525291525
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.05,start,300,0.9466666666666667,0.9436619718309859,0.8933333333333333,0.87,0.056666666666666664,0.05,0.5433333333333333,0.0,6.59846632856159
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.1,end,300,0.93,0.9283154121863799,0.8633333333333333,0.8133333333333334,0.08333333333333333,0.05333333333333334,0.6766666666666666,0.0,6.115476656283253
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.1,middle,300,0.9333333333333333,0.9214285714285714,0.86,0.79,0.07333333333333333,0.06666666666666667,0.7433333333333333,0.0,6.059051125957047
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.1,random,300,0.9066666666666666,0.9154411764705882,0.83,0.6233333333333333,0.11333333333333333,0.056666666666666664,0.9933333333333333,0.0,5.6146658565130405
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.1,start,300,0.93,0.953405017921147,0.8866666666666667,0.8333333333333334,0.07,0.043333333333333335,0.62,0.0,6.359117434046378
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.15,end,300,0.92,0.9202898550724637,0.8466666666666667,0.75,0.09333333333333334,0.06,0.81,0.0,5.786814593507388
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.15,middle,300,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.71,0.1,0.06666666666666667,0.9233333333333333,0.0,5.751326450255297
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.15,random,300,0.87,0.8352490421455939,0.7266666666666667,0.43666666666666665,0.19333333333333333,0.08,1.5066666666666666,0.0,5.090731703114913
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.15,start,300,0.9266666666666666,0.935251798561151,0.8666666666666667,0.7966666666666666,0.08,0.05333333333333334,0.6933333333333334,0.0,6.078153336494531
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.2,end,300,0.9033333333333333,0.8929889298892989,0.8066666666666666,0.64,0.11666666666666667,0.07666666666666666,1.07,0.0,5.46612761009684
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.2,middle,300,0.8966666666666666,0.8810408921933085,0.79,0.62,0.13333333333333333,0.07666666666666666,1.1333333333333333,0.0,5.4439599938162795
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.2,random,300,0.81,0.7078189300411523,0.5733333333333334,0.22,0.3233333333333333,0.10333333333333333,2.223333333333333,0.0,4.66639054661041
hi_dypa,gpt2,job_7963211,8,4.0,4.0,300,16,4800,1076398285,2025-12-21T14:23:46.990932Z,0.2,start,300,0.9233333333333333,0.9314079422382672,0.86,0.73,0.09,0.05,0.7933333333333333,0.0,5.794926343024802
hi_dypa,gpt2,job_7963211,8,5.0,3.0,300,16,4800,1095479972,2025-12-21T19:36:06.070929Z,0.05,end,300,0.88,0.946969696969697,0.8333333333333334,0.7566666666666667,0.1,0.06666666666666667,0.9133333333333333,0.0,6.191025969861222
